ID,Stations-Name,WMO-Kennung,BG,BM,BS,LG,LM,LS,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Betreiber,Melde-Grp,Country
1228,UFS TW Ems,10004,54,9,54,6,20,46,54.165071,6.346049,0,DWD,AUT,Germany
954,UFS Deutsche Bucht,10007,54,10,0,7,27,0,54.1667,7.45,0,DWD,AUT,Germany
2115,Helgoland,10015,54,10,30,7,53,31,54.174957,7.891954,4,DWD,AUT,Germany
3032,List auf Sylt,10020,55,0,40,8,24,45,55.010987,8.412538,26.2,DWD,AUT,Germany
2907,Leck,10022,54,47,25,8,57,5,54.790294,8.951446,7,DWD,AUT,Germany
4393,Sankt Peter-Ording,10028,54,19,41,8,36,11,54.327918,8.602987,5,DWD,I,Germany
1666,Gluecksburg-Meierwik,10033,54,49,38,9,30,21,54.827321,9.505706,27,GeoInfoDBw,I G,Germany
4466,Schleswig,10035,54,31,39,9,32,55,54.527509,9.548637,42.5,DWD,I,Germany
2437,Schleswig-Jagel,10037,54,27,25,9,31,13,54.45696,9.520316,21.3,GeoInfoDBw,II G,Germany
2303,Hohn,10038,54,18,53,9,32,20,54.314596,9.538997,10,GeoInfoDBw,II G,Germany
5930,Schoenhagen (Ostseebad),10042,54,38,28,10,1,26,54.640978,10.023753,2,DWD,AUT,Germany
2961,Leuchtturm Kiel,10044,54,29,59,10,16,25,54.499614,10.273687,30.75,DWD,AUT,Germany
2564,Kiel-Holtenau,10046,54,22,34,10,8,36,54.376109,10.143324,27,DWD,AUT,Germany
5516,Fehmarn,10055,54,31,42,11,3,38,54.528379,11.060513,3,DWD,AUT,Germany
3170,Marienleuchte,10067,54,29,37,11,14,26,54.49366,11.240544,5,GeoInfoDBw,II G,Germany
183,Arkona,10091,54,40,45,13,26,3,54.67916,13.434252,42,DWD,I E,Germany
4024,Putbus,10093,54,21,51,13,28,38,54.36426,13.47709,39.5,DWD,AUT,Germany
1759,Greifswalder Oie,10097,54,14,37,13,54,37,54.2437,13.9102,12,DWD,AUT,Germany
3631,Norderney,10113,53,42,44,7,9,7,53.712302,7.151921,11,DWD,I,Germany
102,Leuchtturm Alte Weser,10124,53,51,42,8,7,36,53.861708,8.126564,32,DWD,AUT,Germany
5640,Wittmundhafen,10126,53,33,1,7,40,2,53.550377,7.667164,8,GeoInfoDBw,I G,Germany
701,Bremerhaven,10129,53,31,59,8,34,34,53.533162,8.576083,7,DWD,AUT,Germany
1200,Elpersbuettel,10130,54,4,9,9,0,38,54.069133,9.010559,3,DWD,AUT,Germany
891,Cuxhaven,10131,53,52,17,8,42,21,53.871254,8.705821,5,DWD,I E,Germany
3639,Nordholz (Flugplatz),10136,53,45,53,8,39,30,53.764673,8.658329,25,GeoInfoDBw,II G,Germany
704,Bremervoerde,10139,53,26,42,9,8,21,53.445116,9.139039,10,DWD,AUT,Germany
2429,Itzehoe,10142,53,59,23,9,34,11,53.989745,9.569639,21,DWD,AUT,Germany
4039,Quickborn,10146,53,43,59,9,52,39,53.733095,9.877586,13,DWD,AUT,Germany
1975,Hamburg-Fuhlsbuettel,10147,53,37,59,9,59,17,53.633187,9.988085,11,DWD,I,Germany
6163,Doernick,10150,54,9,56,10,21,7,54.165442,10.351878,26.3,DWD,AUT,Germany
3897,Pelzerhaken,10152,54,5,22,10,52,38,54.08932,10.877335,1,DWD,AUT,Germany
3086,Luebeck-Blankensee,10156,53,48,9,10,41,56,53.802496,10.698806,15.5,DWD,AUT,Germany
596,Boltenhagen,10161,54,0,10,11,11,27,54.002806,11.190772,15,DWD,AUT,Germany
4625,Schwerin,10162,53,38,33,11,23,14,53.642521,11.387203,59,DWD,AUT,Germany
1694,Goldberg,10168,53,36,22,12,6,12,53.606015,12.103307,58,DWD,AUT,Germany
4271,Rostock-Warnemuende,10170,54,10,49,12,4,51,54.180279,12.080806,4,DWD,I,Germany
2796,Laage (Flugplatz),10172,53,54,56,12,16,44,53.915597,12.278987,40,GeoInfoDBw,I G,Germany
298,Barth,10180,54,20,26,12,42,39,54.340582,12.710828,3,DWD,AUT,Germany
1757,Greifswald,10184,54,5,48,13,24,20,54.096736,13.405576,2,DWD,I,Germany
5142,Ueckermuende,10193,53,44,40,14,4,11,53.744431,14.069699,1.2,DWD,AUT,Germany
5839,Emden,10200,53,23,17,7,13,43,53.388079,7.228703,-0.27,DWD,AUT,Germany
1503,Friesoythe-Altenoythe,10210,53,3,51,7,54,8,53.064299,7.902205,5.72,DWD,AUT,Germany
691,Bremen,10224,53,2,42,8,47,52,53.045015,8.797904,4.1,DWD,I,Germany
4745,Soltau,10235,52,57,37,9,47,35,52.9604,9.79306,75.6,DWD,AUT,Germany
368,Bergen,10238,52,48,55,9,55,29,52.815233,9.924809,70,GeoInfoDBw,I G,Germany
1339,Fa�berg,10246,52,54,56,10,11,19,52.915652,10.188545,73,GeoInfoDBw,I G,Germany
591,Boizenburg,10249,53,23,28,10,41,16,53.391084,10.687761,45,DWD,AUT,Germany
3093,Luechow,10253,52,58,21,11,8,15,52.972375,11.137388,17,DWD,AUT,Germany
4642,Seehausen,10261,52,53,28,11,43,47,52.891136,11.729697,21,DWD,AUT,Germany
3196,Marnitz,10264,53,19,20,11,55,55,53.322288,11.931949,81,DWD,AUT,Germany
2794,Kyritz,10267,52,56,11,12,24,34,52.936312,12.409342,40,DWD,AUT,Germany
5349,Waren (Mueritz),10268,53,31,11,12,39,55,53.519622,12.665404,72.6,DWD,AUT,Germany
3552,Neuruppin,10270,52,54,13,12,48,26,52.903704,12.807205,38,DWD,AUT,Germany
5109,Trollenhagen,10281,53,35,59,13,18,14,53.5997,13.3039,69,DWD,AUT,Germany
7351,Feldberg/Mecklenburg,10282,53,19,3,13,25,3,53.317538,13.417466,115.2,DWD,AUT,Germany
1869,Gruenow,10289,53,18,55,13,56,2,53.315317,13.933754,55.9,DWD,AUT,Germany
164,Angermuende,10291,53,1,54,13,59,26,53.031601,13.99066,54,DWD,I,Germany
3254,Meppen,10304,52,42,56,7,19,3,52.715579,7.317629,19,GeoInfoDBw,II G,Germany
3023,Lingen,10305,52,31,5,7,18,29,52.518093,7.308057,22,DWD,AUT,Germany
4174,Rheine-Bentlage,10306,52,17,19,7,23,12,52.288697,7.386643,40,GeoInfoDBw,II G,Germany
7374,Ahaus,10309,52,4,53,6,56,27,52.08141,6.940958,45.5,DWD,AUT,Germany
342,Belm,10312,52,19,1,8,10,10,52.317028,8.169344,103.3,DWD,AUT,Germany
1766,Muenster/Osnabrueck,10315,52,8,4,7,41,49,52.13437,7.696854,47.8,DWD,I,Germany
963,Diepholz,10321,52,35,17,8,20,33,52.588104,8.342443,39,DWD,AUT,Germany
4371,Salzuflen. Bad,10325,52,6,15,8,45,7,52.104211,8.75208,134.6,DWD,AUT,Germany
5715,Wunstorf,10334,52,27,38,9,25,52,52.46051,9.431127,57,GeoInfoDBw,II G,Germany
769,Bueckeburg,10335,52,16,54,9,5,20,52.281732,9.088939,68,GeoInfoDBw,I G,Germany
2014,Hannover,10338,52,27,52,9,40,41,52.464425,9.677917,55,DWD,I,Germany
850,Celle,10343,52,35,45,10,1,46,52.595933,10.029573,39,GeoInfoDBw,II G,Germany
662,Braunschweig,10348,52,17,29,10,26,47,52.291443,10.446456,81.2,DWD,AUT,Germany
5158,Ummendorf,10356,52,9,36,11,10,33,52.160135,11.175899,162,DWD,AUT,Germany
1544,Gardelegen,10359,52,30,46,11,23,39,52.512914,11.394131,47,DWD,AUT,Germany
3126,Magdeburg,10361,52,6,10,11,34,58,52.102889,11.582678,76,DWD,I E,Germany
1605,Genthin,10365,52,23,15,12,9,36,52.387515,12.160084,35,DWD,AUT,Germany
5546,Wiesenburg,10368,52,7,14,12,27,31,52.120651,12.458539,187,DWD,AUT,Germany
303,Baruth,10376,52,3,41,13,29,59,52.061419,13.499617,54.6,DWD,AUT,Germany
3987,Potsdam,10379,52,22,53,13,3,44,52.381287,13.062229,81,DWD,I,Germany
403,Berlin-Dahlem (FU),10381,52,27,13,13,18,6,52.453711,13.301731,51,FU Berlin,oZ,Germany
430,Berlin-Tegel,10382,52,33,52,13,18,32,52.564412,13.308848,36,DWD,I,Germany
433,Berlin-Tempelhof,10384,52,28,3,13,24,8,52.467488,13.402115,48,DWD,AUT,Germany
427,Berlin-Schoenefeld,10385,52,22,51,13,31,50,52.380698,13.530609,46,DWD,I,Germany
3015,Lindenberg,10393,52,12,31,14,7,5,52.208491,14.117973,98,DWD,I,Germany
5809,Lindenberg (WPR),10394,52,12,34,14,7,43,52.209331,14.128616,101,DWD,oZ,Germany
3158,Manschnow,10396,52,32,49,14,32,43,52.546827,14.545212,12,DWD,AUT,Germany
1078,Duesseldorf,10400,51,17,45,6,46,7,51.295952,6.768648,36.6,DWD,I,Germany
1303,Essen-Bredeney,10410,51,24,15,6,58,4,51.404085,6.967741,150,DWD,AUT,Germany
3098,Luedenscheid,10418,51,14,43,7,38,33,51.245158,7.642497,386.7,DWD,AUT,Germany
5480,Werl,10424,51,34,35,7,53,17,51.576347,7.887922,84.8,DWD,AUT,Germany
2483,Kahler Asten,10427,51,10,49,8,29,21,51.180254,8.489068,839,DWD,I,Germany
3028,Lippspringe. Bad,10430,51,47,8,8,50,20,51.785459,8.838777,157,DWD,AUT,Germany
6197,Luegde-Paenbruch,10433,51,51,59,9,16,15,51.866435,9.270852,258,DWD,AUT,Germany
5347,Warburg,10435,51,30,14,9,6,42,51.503989,9.111751,235.8,DWD,AUT,Germany
1504,Fritzlar (Flugplatz),10439,51,7,8,9,16,48,51.119021,9.279907,172,GeoInfoDBw,I G,Germany
