STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1420;19490101;-999;-999;-999;    5;   4.3;   1;-999;   0;   8.0;   6.3;  977.20;    6.6;   65.00;    9.2;    1.5;    1.0;eor
       1420;19490102;-999;-999;-999;    5;   2.3;   1;-999;   0;   8.0;   6.9;  981.80;    2.4;   94.00;    7.1;    0.5;    2.2;eor
       1420;19490103;-999;-999;-999;    5;   0.1;   1;-999;   0;   5.0;   6.4;  993.10;    2.0;   88.00;    5.0;    0.1;   -0.3;eor
       1420;19490104;-999;-999;-999;    5;   0.0;   1;-999;   0;   6.7;   5.6; 1000.40;    2.4;   78.00;    3.7;   -1.6;   -3.4;eor
       1420;19490105;-999;-999;-999;    5;   0.0;   1;-999;   0;   8.0;   6.7; 1011.20;    3.5;   86.00;    5.3;    1.6;    1.2;eor
       1420;19490106;-999;-999;-999;    5;   0.0;   1;-999;   0;   8.0;   7.3; 1023.60;    4.2;   87.00;    5.9;    3.0;    1.7;eor
       1420;19490107;-999;-999;-999;    5;   1.0;   8;-999;   0;   8.0;   5.9; 1020.20;   -0.3;   96.00;    4.0;   -1.2;    0.3;eor
       1420;19490108;-999;-999;-999;    5;   0.6;   8;-999;   0;   8.0;   5.9; 1005.50;   -0.3;   98.00;    0.6;   -2.5;   -2.8;eor
       1420;19490109;-999;-999;-999;    5;   1.0;   7;-999;   0;   5.3;   6.0; 1009.20;    1.3;   89.00;    3.3;   -1.7;   -2.8;eor
       1420;19490110;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.0;   4.9; 1009.80;   -1.5;   87.00;    1.8;   -3.8;   -6.1;eor
       1420;19490111;-999;-999;-999;    5;   0.6;   7;-999;   0;   6.7;   4.9; 1000.80;   -1.5;   92.00;   -0.2;   -5.3;   -7.2;eor
       1420;19490112;-999;-999;-999;    5;   1.6;   7;-999;   3;   5.7;   5.7; 1002.30;    0.8;   87.00;    3.1;   -0.5;   -5.1;eor
       1420;19490113;-999;-999;-999;    5;   0.0;   1;-999;   2;   3.3;   5.2; 1019.40;    0.4;   81.00;    3.4;   -1.8;   -4.7;eor
       1420;19490114;-999;-999;-999;    5;   0.9;   8;-999;   0;   8.0;   6.3; 1013.90;    1.0;   96.00;    1.6;   -1.0;   -1.8;eor
